movies,similar
Mortal Kombat (1995),"Judge Dredd (1995);Demolition Man (1993);Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994);Virtuosity (1995);Hunted, The (1995);Species (1995);Last Action Hero (1993);Vampire in Brooklyn (1995);Cutthroat Island (1995);Hard Target (1993)"
To Die For (1995),Bullets Over Broadway (1994);Flirting With Disaster (1996);Six Degrees of Separation (1993);Crooklyn (1994);Barcelona (1994);Death and the Maiden (1994);Short Cuts (1993);Swimming with Sharks (1995);Clockers (1995);Fearless (1993)
How to Make an American Quilt (1995),"Moonlight and Valentino (1995);Circle of Friends (1995);Walk in the Clouds, A (1995);Corrina, Corrina (1994);Love Affair (1994);When a Man Loves a Woman (1994);Something to Talk About (1995);Only You (1994);Waiting to Exhale (1995);Safe Passage (1994)"
Seven (a.k.a. Se7en) (1995),"Natural Born Killers (1994);Silence of the Lambs, The (1991);Usual Suspects, The (1995);Copycat (1995);Léon: The Professional (a.k.a. The Professional) (Léon) (1994);Interview with the Vampire: The Vampire Chronicles (1994);Pulp Fiction (1994);Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Speed (1994);Murder in the First (1995)"
Pocahontas (1995),"Swan Princess, The (1994);Casper (1995);Oliver & Company (1988);Goofy Movie, A (1995);Aristocats, The (1970);Jungle Book, The (1994);Free Willy (1993);Free Willy 2: The Adventure Home (1995);Indian in the Cupboard, The (1995);Balto (1995)"
When Night Is Falling (1995),"Incredibly True Adventure of Two Girls in Love, The (1995);Love! Valour! Compassion! (1997);Pillow Book, The (1996);My Life in Pink (Ma vie en rose) (1997);Hideous Kinky (1998);Bedrooms & Hallways (1998);Go Fish (1994);Better Than Chocolate (1999);Orlando (1992);Tango Lesson, The (1997)"
"Usual Suspects, The (1995)","Seven (a.k.a. Se7en) (1995);L.A. Confidential (1997);Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Shawshank Redemption, The (1994);Shallow Grave (1994);Pulp Fiction (1994);Hoop Dreams (1994);Memento (2000);Fargo (1996);Get Shorty (1995)"
Mighty Aphrodite (1995),"Blue in the Face (1995);Denise Calls Up (1995);Nixon (1995);Bullets Over Broadway (1994);French Twist (Gazon maudit) (1995);Brothers McMullen, The (1995);Georgia (1995);In the Bleak Midwinter (1995);Star Maker, The (Uomo delle stelle, L') (1995);Cold Comfort Farm (1995)"
Lamerica (1994),"Judgement in Stone, A (Cérémonie, La) (1995);White Balloon, The (Badkonake sefid) (1995);Promise, The (La promesse) (1996);Gabbeh (1996);Mina Tannenbaum (1994);Cyclo (Xich lo) (1995);Dear Diary (Caro Diario) (1994);Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991);Nelly & Monsieur Arnaud (1995);From the Journals of Jean Seberg (1995)"
"Big Green, The (1995)","Man of the House (1995);Richie Rich (1994);Kid in King Arthur's Court, A (1995);Tom and Huck (1995);Operation Dumbo Drop (1995);Free Willy 2: The Adventure Home (1995);Amazing Panda Adventure, The (1995);Dunston Checks In (1996);Little Rascals, The (1994);Gordy (1995)"
Georgia (1995),"I Shot Andy Warhol (1996);Once Upon a Time... When We Were Colored (1995);Angels and Insects (1995);Carried Away (1996);Kansas City (1996);Journey of August King, The (1995);Denise Calls Up (1995);Star Maker, The (Uomo delle stelle, L') (1995);Stealing Beauty (1996);Crossing Guard, The (1995)"
Home for the Holidays (1995),"Safe Passage (1994);Miami Rhapsody (1995);Boys on the Side (1995);Perez Family, The (1995);Moonlight and Valentino (1995);Nina Takes a Lover (1994);Unstrung Heroes (1995);What's Love Got to Do with It? (1993);My Family (1995);How to Make an American Quilt (1995)"
"Postman, The (Postino, Il) (1994)","Antonia's Line (Antonia) (1995);Like Water for Chocolate (Como agua para chocolate) (1992);Star Maker, The (Uomo delle stelle, L') (1995);Eat Drink Man Woman (Yin shi nan nu) (1994);Angels and Insects (1995);French Twist (Gazon maudit) (1995);Shine (1996);Strawberry and Chocolate (Fresa y chocolate) (1993);Burnt by the Sun (Utomlyonnye solntsem) (1994);Carrington (1995)"
"Confessional, The (Confessionnal, Le) (1995)","Dear Diary (Caro Diario) (1994);Mina Tannenbaum (1994);Before the Rain (Pred dozhdot) (1994);Ladybird Ladybird (1994);Nelly & Monsieur Arnaud (1995);White Balloon, The (Badkonake sefid) (1995);Land and Freedom (Tierra y libertad) (1995);Naked (1993);Breaking the Waves (1996);Lamerica (1994)"
"Indian in the Cupboard, The (1995)","Far From Home: The Adventures of Yellow Dog (1995);Kid in King Arthur's Court, A (1995);Black Beauty (1994);Amazing Panda Adventure, The (1995);Free Willy (1993);Tom and Huck (1995);Free Willy 2: The Adventure Home (1995);Operation Dumbo Drop (1995);Fluke (1995);Lassie (1994)"
Eye for an Eye (1996),"Juror, The (1996);Two if by Sea (1996);Diabolique (1996);Fear (1996);River Wild, The (1994);Chamber, The (1996);Thin Line Between Love and Hate, A (1996);Up Close and Personal (1996);White Squall (1996);Unforgettable (1996)"
Mr. Holland's Opus (1995),"Phenomenon (1996);Up Close and Personal (1996);Father of the Bride Part II (1995);Sabrina (1995);River Wild, The (1994);Time to Kill, A (1996);Juror, The (1996);Bed of Roses (1996);Grumpier Old Men (1995);Preacher's Wife, The (1996)"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Black Sheep (1996);High School High (1996);Beavis and Butt-Head Do America (1996);Cable Guy, The (1996);Bulletproof (1996);Great White Hype, The (1996);Beverly Hills Ninja (1997);Bio-Dome (1996);Celtic Pride (1996);Meet Wally Sparks (1997)"
Two if by Sea (1996),"Mr. Wrong (1996);Bed of Roses (1996);Eddie (1996);Thin Line Between Love and Hate, A (1996);Eye for an Eye (1996);Ed (1996);Multiplicity (1996);Up Close and Personal (1996);Big Bully (1996);Grumpier Old Men (1995)"
Bio-Dome (1996),Sgt. Bilko (1996);Celtic Pride (1996);Black Sheep (1996);High School High (1996);Down Periscope (1996);Spy Hard (1996);Dracula: Dead and Loving It (1995);Striptease (1996);Lawnmower Man 2: Beyond Cyberspace (1996);Kazaam (1996)
Lawnmower Man 2: Beyond Cyberspace (1996),"Barb Wire (1996);Quest, The (1996);Striptease (1996);Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);Down Periscope (1996);Sgt. Bilko (1996);Thin Line Between Love and Hate, A (1996);Sudden Death (1995);Kazaam (1996);Children of the Corn IV: The Gathering (1996)"
Two Bits (1995),"Infinity (1996);Last Dance (1996);Captives (1994);Unforgettable Summer, An (Un été inoubliable) (1994);Carried Away (1996);August (1996);Of Love and Shadows (1994);Secret Agent, The (1996);Loaded (1994);Wooden Man's Bride, The (Yan shen) (1994)"
French Twist (Gazon maudit) (1995),"Angels and Insects (1995);Denise Calls Up (1995);Star Maker, The (Uomo delle stelle, L') (1995);Antonia's Line (Antonia) (1995);Stealing Beauty (1996);Cold Comfort Farm (1995);In the Bleak Midwinter (1995);Georgia (1995);Double Happiness (1994);Story of Xinghua, The (Xinghua san yue tian) (1994)"
Friday (1995),Half Baked (1998);Billy Madison (1995);Dirty Work (1998);Tommy Boy (1995);Mallrats (1995);BASEketball (1998);Dazed and Confused (1993);How to Be a Player (1997);Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Next Friday (2000)
From Dusk Till Dawn (1996),"Desperado (1995);Blade (1998);Last Man Standing (1996);Prophecy, The (1995);Vampires (1998);Hellraiser: Bloodline (1996);Crow, The (1994);In the Mouth of Madness (1995);Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994);Tales from the Crypt Presents: Demon Knight (1995)"
Fair Game (1995),"Money Train (1995);Drop Zone (1994);Assassins (1995);Terminal Velocity (1994);Striking Distance (1993);Virtuosity (1995);Hunted, The (1995);Jade (1995);Bad Girls (1994);Vampire in Brooklyn (1995)"
Kicking and Screaming (1995),"Flirting With Disaster (1996);Living in Oblivion (1995);Last Days of Disco, The (1998);Walking and Talking (1996);Spanking the Monkey (1994);Daytrippers, The (1996);Mr. Jealousy (1997);Heavy (1995);What Happened Was... (1994);Clockwatchers (1997)"
"Misérables, Les (1995)","Misérables, Les (1998);Farinelli: il castrato (1994);House of the Spirits, The (1993);Cry, the Beloved Country (1995);Germinal (1993);Picture Bride (Bijo photo) (1994);Horseman on the Roof, The (Hussard sur le toit, Le) (1995);Shadowlands (1993);Browning Version, The (1994);Othello (1995)"
Bed of Roses (1996),"Up Close and Personal (1996);Two if by Sea (1996);Sabrina (1995);Father of the Bride Part II (1995);Preacher's Wife, The (1996);Mr. Wrong (1996);Eye for an Eye (1996);Mirror Has Two Faces, The (1996);Before and After (1996);Eddie (1996)"
Big Bully (1996),"Celtic Pride (1996);Theodore Rex (1995);Thin Line Between Love and Hate, A (1996);House Arrest (1996);Eddie (1996);Two Much (1995);Phat Beach (1996);Ed (1996);Sunset Park (1996);Kazaam (1996)"
Screamers (1995),"Island of Dr. Moreau, The (1996);Barb Wire (1996);Arrival, The (1996);Lawnmower Man 2: Beyond Cyberspace (1996);Escape from L.A. (1996);Quest, The (1996);Substitute, The (1996);Crow: City of Angels, The (1996);Tales from the Crypt Presents: Bordello of Blood (1996);Children of the Corn IV: The Gathering (1996)"
Nico Icon (1995),"From the Journals of Jean Seberg (1995);Flirt (1995);Safe (1995);Heavy (1995);Poison (1991);Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993);Henry Fool (1997);Butcher Boy, The (1997);New Age, The (1994);Heidi Fleiss: Hollywood Madam (1995)"
"Crossing Guard, The (1995)","Funeral, The (1996);Trigger Effect, The (1996);Kansas City (1996);American Buffalo (1996);Georgia (1995);Blood and Wine (Blood & Wine) (1996);Girl 6 (1996);Feeling Minnesota (1996);Get on the Bus (1996);Trees Lounge (1996)"
"Juror, The (1996)","Eye for an Eye (1996);River Wild, The (1994);Diabolique (1996);Up Close and Personal (1996);Two if by Sea (1996);Striptease (1996);White Squall (1996);Substitute, The (1996);Executive Decision (1996);Grumpier Old Men (1995)"
"White Balloon, The (Badkonake sefid) (1995)","Lamerica (1994);Promise, The (La promesse) (1996);Judgement in Stone, A (Cérémonie, La) (1995);Mina Tannenbaum (1994);Ponette (1996);World of Apu, The (Apur Sansar) (1959);Gabbeh (1996);Thieves (Voleurs, Les) (1996);From the Journals of Jean Seberg (1995);Wild Reeds (Les roseaux sauvages) (1994)"
Things to Do in Denver When You're Dead (1995),"2 Days in the Valley (1996);Trigger Effect, The (1996);Crossing Guard, The (1995);Heaven's Prisoners (1996);Albino Alligator (1996);Mulholland Falls (1996);Gridlock'd (1997);Girl 6 (1996);Last Supper, The (1995);Feeling Minnesota (1996)"
Antonia's Line (Antonia) (1995),"Angels and Insects (1995);Secrets & Lies (1996);French Twist (Gazon maudit) (1995);Strawberry and Chocolate (Fresa y chocolate) (1993);Cold Comfort Farm (1995);Postman, The (Postino, Il) (1994);Star Maker, The (Uomo delle stelle, L') (1995);Burnt by the Sun (Utomlyonnye solntsem) (1994);Ridicule (1996);Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)"
Once Upon a Time... When We Were Colored (1995),"Cry, the Beloved Country (1995);Family Thing, A (1996);Georgia (1995);Journey of August King, The (1995);Grass Harp, The (1995);Story of Xinghua, The (Xinghua san yue tian) (1994);Anne Frank Remembered (1995);Substance of Fire, The (1996);Infinity (1996);Carried Away (1996)"
Last Summer in the Hamptons (1995),"Soldier's Daughter Never Cries, A (1998);Wedding Gift, The (1994);Manny & Lo (1996);Afterglow (1997);Passion Fish (1992);Walk on the Moon, A (1999);Winter Guest, The (1997);Ruby in Paradise (1993);Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997);My Son the Fanatic (1997)"
Angels and Insects (1995),"Antonia's Line (Antonia) (1995);French Twist (Gazon maudit) (1995);Cold Comfort Farm (1995);Georgia (1995);Ridicule (1996);Carrington (1995);Double Happiness (1994);Manny & Lo (1996);Go Fish (1994);Portrait of a Lady, The (1996)"
White Squall (1996),"Chamber, The (1996);Eye for an Eye (1996);Diabolique (1996);Juror, The (1996);Before and After (1996);Preacher's Wife, The (1996);River Wild, The (1994);Unforgettable (1996);City Hall (1996);Mary Reilly (1996)"
Dunston Checks In (1996),"Richie Rich (1994);Big Green, The (1995);Tom and Huck (1995);Little Rascals, The (1994);Kid in King Arthur's Court, A (1995);Flintstones, The (1994);It Takes Two (1995);Baby-Sitters Club, The (1995);Next Karate Kid, The (1994);Lassie (1994)"
Black Sheep (1996),"Bio-Dome (1996);Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);High School High (1996);Celtic Pride (1996);Happy Gilmore (1996);Beverly Hills Ninja (1997);Sgt. Bilko (1996);Cable Guy, The (1996);Spy Hard (1996);Billy Madison (1995)"
Nick of Time (1995),"Striking Distance (1993);Bad Company (1995);Hideaway (1995);Blown Away (1994);Malice (1993);Blink (1994);Hard Target (1993);Terminal Velocity (1994);Scout, The (1994);Money Train (1995)"
"Journey of August King, The (1995)","Carried Away (1996);Once Upon a Time... When We Were Colored (1995);Wooden Man's Bride, The (Yan shen) (1994);Georgia (1995);Infinity (1996);Loaded (1994);Family Thing, A (1996);Cry, the Beloved Country (1995);Anne Frank Remembered (1995);Two Bits (1995)"
Mary Reilly (1996),"Diabolique (1996);Unforgettable (1996);Before and After (1996);Pallbearer, The (1996);Eye for an Eye (1996);Thin Line Between Love and Hate, A (1996);Faithful (1996);Mr. Wrong (1996);Two if by Sea (1996);Chamber, The (1996)"
Vampire in Brooklyn (1995),"Jury Duty (1995);House Party 3 (1994);Exit to Eden (1994);Cops and Robbersons (1994);Bad Girls (1994);Jerky Boys, The (1995);National Lampoon's Senior Trip (1995);Major Payne (1995);Another Stakeout (1993);Virtuosity (1995)"
Beautiful Girls (1996),"She's the One (1996);If Lucy Fell (1996);Feeling Minnesota (1996);Pallbearer, The (1996);Last Supper, The (1995);Crossing Guard, The (1995);Stealing Beauty (1996);Boys (1996);Things to Do in Denver When You're Dead (1995);Girl 6 (1996)"
Broken Arrow (1996),"Eraser (1996);Executive Decision (1996);Sudden Death (1995);Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996);Quest, The (1996);Twister (1996);Substitute, The (1996);Striptease (1996);Chain Reaction (1996);Barb Wire (1996)"
In the Bleak Midwinter (1995),"Cold Comfort Farm (1995);Angels and Insects (1995);Denise Calls Up (1995);French Twist (Gazon maudit) (1995);Georgia (1995);Richard III (1995);Star Maker, The (Uomo delle stelle, L') (1995);Blue in the Face (1995);Journey of August King, The (1995);Othello (1995)"
"Hate (Haine, La) (1995)","Underground (1995);Celebration, The (Festen) (1998);Idiots, The (Idioterne) (1998);Chungking Express (Chung Hing sam lam) (1994);Land and Freedom (Tierra y libertad) (1995);Time of the Gypsies (Dom za vesanje) (1989);Dead Man (1995);Fireworks (Hana-bi) (1997);Head-On (Gegen die Wand) (2004);Black Cat, White Cat (Crna macka, beli macor) (1998)"
Heidi Fleiss: Hollywood Madam (1995),"Nico Icon (1995);Palookaville (1996);I Shot Andy Warhol (1996);Underneath (1995);What Happened Was... (1994);Girl 6 (1996);Heavy (1995);Trees Lounge (1996);Young Poisoner's Handbook, The (1995);Freeway (1996)"
City Hall (1996),"Diabolique (1996);Unforgettable (1996);Mulholland Falls (1996);Nixon (1995);Before and After (1996);Mary Reilly (1996);Chamber, The (1996);Heaven's Prisoners (1996);White Squall (1996);Juror, The (1996)"
Bottle Rocket (1996),Waiting for Guffman (1996);Rushmore (1998);American Movie (1999);I Am Trying to Break Your Heart (2002);Buffalo '66 (a.k.a. Buffalo 66) (1998);Schizopolis (1996);Punch-Drunk Love (2002);Kicking and Screaming (1995);Ghost World (2001);Comedian (2002)
Mr. Wrong (1996),"Two if by Sea (1996);Thin Line Between Love and Hate, A (1996);Ed (1996);Celtic Pride (1996);Kazaam (1996);Sgt. Bilko (1996);Flipper (1996);Big Bully (1996);Eddie (1996);Multiplicity (1996)"
Unforgettable (1996),"Diabolique (1996);Mary Reilly (1996);Heaven's Prisoners (1996);Before and After (1996);Eye for an Eye (1996);City Hall (1996);Faithful (1996);Pallbearer, The (1996);Thin Line Between Love and Hate, A (1996);Fan, The (1996)"
